SITE NAME,DEALER,PHYSICAL ADDRESS,Suburb,TEL NO,FAX NO,CELL NO,Custodian
Zenex Lenchen,Joe Espach,LENCHEN Ave South Zwartkop X4,G Centr,663-4557,663-4668,072-298-6266,Nkosinathi
ZENEX MALVERN ,ABUBAKAR KHAN ,"417 JULES STREET, MALVERN ",G SW,011-782 - 6866,011 - 336 9080,083 417 6541,Clint Gali
ZENEX MEYER STREET ,FRITZ GULDENPFENNING ,"Cnr Meyer & Kruger Streets, Meyerton ",G SW,016 - 362 0130,016 - 362 0590,083 441 1260,Clint Gali
Zenex Morningside,Deon Humphries,Rivonia Rd  ,G Centr,011-804 4264,,,Nkosinathi
Zenex Motor City,Cinzia Fiocchi ,"Cnr Malibongwe & Hammer Rd, Strijdom Park",G Centr,792-7312,792-7313,082 709 1764,Nkosinathi
Zenex Motors,Chris,"Loopstr, Fochville",3rd West,,,,Closure
ZENEX NALEDI ,PETROS TSELE ,"1023 LEGWALE STREET, NALEDI ",G SW,011 - 934 1144,011 - 934 1144,082 932 4465,Clint Gali
ZENEX NORTHMEAD,THEO HATTINGH,CNR 1ST & 7TH AVE NORTHMEAD,G East,(011) 849 7131,(011)849 7131,082 784 9478,Muneer Patel
ZENEX OAKTREE ,BRIAN BEAN / JOHAN SMIT ,"41 OAKTREE PLOTS, STERKFONTEIN ROAD, KRUGERSDORP",G SW,011 - 956 6408,011 - 764 5636,083 266 7790,Clint Gali
Zenex Olivedale,Deon Viljoen,Olive Rd Olivedale,G Centr,462-1016,795-3993,083-271-5521,Nkosinathi
Zenex Rosslyn,Riekert Theo,Kitshoff Street. Rosslyn,3rd North,012 5415333,012 5492288,082 680 1966,CLOSED
Zenex Sampie,Vorster John,Jameson Rd. Derby,3rd North,014 5492060,014 5492060,,Clint Gali
ZENEX SEBENZA,PHILLIP WESSELS,CNR TERRACE & SMITH STREET EDENVALE ,G East,(011) 452 6524,(011) 452 6526,073 169 0797,Muneer Patel
ZENEX SEBOKENG ,BRIAN MOHALANE,"99 Moshoeshoe Street, Sebokeng ",G SW,016 - 591 7236,016 - 422 0314,082 353 6582,Clint Gali
Zenex Spartan,Mohammed,Plane Rd Spartan,G Centr,394-6315,394-6316,083-604-4646,Nkosinathi
ZENEX SUMMERFIELDS,EDWARD TAUTE,35 REIER ROAD ATLASVILLE,G East,(011) 894 7800,(011)849 7800,082 447 3210,Muneer Patel
Zenex SUNWARD PARK,BENNY RYNEKE,"JUNCTION CEN KINGFISHER AVE, SUNWARD PARK",G East,(011)913 0115,(011)9130212,083 512 4562,Muneer Patel
Zenex Twinpalms,Mohamed Kholvadia,Monument Rd Kemptonpark,G Centr,394-1706,975-2295,084-548-7376,Nkosinathi
Zenex Villiera,Mona Vos,"1047 Michael Brink Str, Villeria",3rd North,012 333 0426,012 333 2527,072 466 2878,Willem Goudriaan
Zenex Waterkloof,,"Hans Strijdom & Waterkloof ,Waterkloof",3rd North,,,,Muneer Patel
ZENEX WESTONARIA ,ANDRE VAN RENSBURG ,"CNR 100 EDWARD & MCGREGOR STREETS, WESTONARIA",G SW,011 - 753 3910,011 - 753 4165,082 335 8007,Clint Gali
Zenex Wilgers,Martin Coetzee,Lynwood & Simon Vermooten Rds Wilgers,I North,012 807 2153,012 807 2153,082 576 6822,Willem Goudriaan
Fourways CC (Znx William),Chris Georgiades,William Nicol Dr,G Centr,465-4439,465-4408,082-474-7106,Nkosinathi
Zone 5 S/Stn,Dan Rabothata,"Zone 5,Meadowlands,Soweto",3rd South,,,073 183 3655,Clint Gali
